Timestamp,Reading
2024-07-31 18:40:51,7.8 lbs
2024-07-31 18:40:51,15.4 lbs
2024-07-31 18:40:51,22.9 lbs
2024-07-31 18:40:51,28.0 lbs
2024-07-31 18:40:51,29.1 lbs
2024-07-31 18:40:51,26.8 lbs
2024-07-31 18:40:51,24.8 lbs
2024-07-31 18:40:51,21.8 lbs
2024-07-31 18:40:51,16.6 lbs
2024-07-31 18:40:51,11.6 lbs
2024-07-31 18:40:51,6.6 lbs
2024-07-31 18:40:51,2.6 lbs
2024-07-31 18:40:52,0.5 lbs
2024-07-31 18:40:52,-0.2 lbs
2024-07-31 18:40:52,-0.2 lbs
2024-07-31 18:40:52,-0.3 lbs
2024-07-31 18:40:52,-0.3 lbs
2024-07-31 18:40:52,-0.3 lbs
2024-07-31 18:40:52,-0.3 lbs
2024-07-31 18:40:52,-0.3 lbs
2024-07-31 18:40:52,-0.3 lbs
2024-07-31 18:40:52,-0.3 lbs
2024-07-31 18:40:52,-0.3 lbs
2024-07-31 18:40:53,-0.4 lbs
2024-07-31 18:40:53,-0.4 lbs
2024-07-31 18:40:53,-0.3 lbs
2024-07-31 18:40:53,-0.4 lbs
2024-07-31 18:40:53,-0.4 lbs
2024-07-31 18:40:53,-0.4 lbs
2024-07-31 18:40:53,-0.4 lbs
2024-07-31 18:40:53,-0.4 lbs
2024-07-31 18:40:53,-0.4 lbs
2024-07-31 18:40:53,-0.5 lbs
2024-07-31 18:40:53,-0.5 lbs
2024-07-31 18:40:54,-0.5 lbs
2024-07-31 18:40:54,-0.6 lbs
2024-07-31 18:40:54,-0.6 lbs
2024-07-31 18:40:54,-0.7 lbs
2024-07-31 18:40:54,-0.8 lbs
2024-07-31 18:40:54,-0.7 lbs
2024-07-31 18:40:54,-0.7 lbs
2024-07-31 18:40:54,-0.7 lbs
2024-07-31 18:40:54,-0.7 lbs
2024-07-31 18:40:54,-0.7 lbs
2024-07-31 18:40:54,-0.7 lbs
2024-07-31 18:40:54,-0.7 lbs
2024-07-31 18:40:55,-0.7 lbs
2024-07-31 18:40:55,-0.7 lbs
2024-07-31 18:40:55,-0.7 lbs
2024-07-31 18:40:55,-0.7 lbs
2024-07-31 18:40:55,-0.7 lbs
2024-07-31 18:40:55,-0.7 lbs
2024-07-31 18:40:55,-0.7 lbs
2024-07-31 18:40:55,-0.7 lbs
2024-07-31 18:40:55,-0.7 lbs
2024-07-31 18:40:55,-0.7 lbs
2024-07-31 18:40:55,-0.7 lbs
